state,tor_length,tor_width,year,injuries,fatalities,tor_scale_unified
OK,0.5,80.0,2004,0,0,EF0
IN,0.2,50.0,2004,0,0,EF0
IN,0.7,75.0,2004,1,0,EF1
IL,0.9,50.0,2004,0,0,EF0
IL,0.1,50.0,2004,0,0,EF0
NE,1.5,150.0,2004,0,0,EF1
OK,2.0,200.0,2004,0,0,EF0
OK,1.6,150.0,2004,0,0,EF0
OK,4.1,200.0,2004,0,0,EF0
AR,0.5,75.0,2004,0,0,EF1
IL,1.0,75.0,2004,0,0,EF1
AR,2.5,25.0,2004,0,0,EF0
IL,3.0,50.0,2004,0,0,EF1
TX,0.3,30.0,2004,0,0,EF0
LA,0.2,25.0,2004,0,0,EF0
IA,0.2,25.0,2004,0,0,EF0
NY,1.0,75.0,2004,0,0,EF0
AR,2.5,50.0,2004,0,0,EF1
AR,13.1,40.0,2004,0,0,EF0
AR,4.1,25.0,2004,0,0,EF0
AR,2.3,25.0,2004,0,0,EF0
AR,7.5,50.0,2004,0,0,EF0
AR,2.2,25.0,2004,0,0,EF0
AR,7.8,60.0,2004,0,0,EF1
OK,6.4,60.0,2004,0,0,EF1
OK,1.2,80.0,2004,0,0,EF0
TX,0.1,25.0,2004,0,0,EF0
KS,1.5,75.0,2004,0,0,EF1
IA,0.2,25.0,2004,0,0,EF0
TX,0.2,50.0,2004,0,0,EF0
IN,0.1,30.0,2004,0,0,EF0
KS,1.0,60.0,2004,0,0,EF0
OK,0.4,200.0,2004,0,0,EF0
OK,1.7,200.0,2004,0,0,EF0
IN,4.0,100.0,2004,0,0,EF0
IN,0.2,50.0,2004,0,0,EF0
IA,0.1,50.0,2004,0,0,EF0
IA,0.1,25.0,2004,0,0,EF0
KS,2.5,440.0,2004,0,0,EF1
KS,6.0,500.0,2004,0,0,EF1
TX,3.0,80.0,2004,0,0,EF0
MS,0.2,25.0,2004,0,0,EF0
IN,3.8,50.0,2004,0,0,EF1
KS,0.5,40.0,2004,0,0,EF0
KS,6.0,75.0,2004,0,0,EF1
TX,0.1,20.0,2004,0,0,EF0
MO,0.1,20.0,2004,0,0,EF0
KS,8.0,500.0,2004,0,0,EF2
KS,0.5,40.0,2004,0,0,EF0
AR,2.0,75.0,2004,0,0,EF1
AR,4.2,40.0,2004,0,0,EF0
TX,0.2,50.0,2004,0,0,EF0
IN,6.0,150.0,2004,0,0,EF0
NE,6.0,50.0,2004,0,0,EF0
